Year,Yearly_Ranking,Title,Studio,Total_Gross,Number_of_Theaters,Opening_Gross,Number_of_Opening_Theaters,Open_Date,End_Date,Running time,Genre,Rating
2014,25,The Fault in our Stars,Fox,"$124,872,350 ","3,340","$48,002,523 ","3,173",6月6日,10月9日,2 hrs. 5 min.,Drama,PG-13
2014,26,Unbroken,Uni.,"$115,637,895 ","3,301","$30,621,445 ","3,131",12月25日,3月12日,2 hrs. 17 min.,War Drama,PG-13
2014,27,Night at the Museum: Secret of the Tomb,Fox,"$113,746,621 ","3,914","$17,100,520 ","3,785",12月19日,7月9日,1 hrs. 37 min.,Family Adventure,PG
2014,28,Mr. Peabody & Sherman,Fox,"$111,506,430 ","3,951","$32,207,057 ","3,934",3月7日,9月4日,1 hrs. 30 min.,Animation,PG
2014,29,300: Rise of An Empire,WB,"$106,580,051 ","3,490","$45,038,460 ","3,470",3月7日,5月29日,1 hrs. 42 min.,Period Action,R
2014,30,The Maze Runner,Fox,"$102,427,862 ","3,638","$32,512,804 ","3,604",9月19日,2月5日,1 hrs. 53 min.,Sci-Fi Thriller,PG-13
2014,31,The Equalizer,Sony,"$101,530,738 ","3,236","$34,137,828 ","3,236",9月26日,1月11日,2 hrs. 8 min.,Thriller,R
2014,32,Noah,Par.,"$101,200,044 ","3,571","$43,720,472 ","3,567",3月28日,6月19日,2 hrs. 18 min.Drama,,PG-13
2014,33,Edge of Tomorrow,WB,"$100,206,256 ","3,505","$28,760,246 ","3,490",6月6日,9月11日,1 hrs. 53 min.,Sci-Fi Action,PG-13
2014,34,Non-Stop,Uni.,"$92,168,600 ","3,183","$28,875,635 ","3,090",2月28日,5月29日,1 hrs. 50 min.,Thriller,PG-13
2014,35,Heaven is for Real,TriS,"$91,443,253 ","3,048","$22,522,221 ","2,417",4月16日,8月10日,1 hrs. 40 min.,Drama,PG
2014,36,The Imitation Game,Wein.,"$91,125,683 ","2,402","$479,352 ",4,11月28日,5月14日,1 hrs. 54 min.,Drama,PG-13
2014,37,Dumb and Dumber To,Uni.,"$86,208,010 ","3,188","$36,111,775 ","3,154",11月14日,2月12日,1 hrs. 50 min.,Comedy,PG-13
2014,38,Annie (2014),Sony,"$85,911,262 ","3,197","$15,861,939 ","3,116",12月19日,3月15日,1 hrs. 58 min.,Musical,PG
2014,39,Fury (2014),Sony,"$85,817,906 ","3,313","$23,702,421 ","3,173",10月17日,1月19日,2 hrs. 14 min.,War,R
2014,40,Tammy,WB (NL),"$84,525,432 ","3,465","$21,577,049 ","3,465",7月2日,10月16日,1 hrs. 36 min.,Comedy,R
2014,41,Annabelle,WB (NL),"$84,273,813 ","3,215","$37,134,255 ","3,185",10月3日,12月18日,1 hrs. 35 min.,Horror,R
2014,42,The Other Woman (2014),Fox,"$83,911,193 ","3,306","$24,763,752 ","3,205",4月25日,8月14日,1 hrs. 49 min.,Comedy,PG-13
2014,43,Penguins of Madagascar,Fox,"$83,350,911 ","3,775","$25,447,444 ","3,764",11月26日,5月7日,1 hrs. 32 min.,Animation,PG
2014,44,Let's Be Cops,Fox,"$82,390,774 ","3,140","$17,813,722 ","3,094",8月13日,12月11日,1 hrs. 44 min.,Action Comedy,R
2014,45,The Monuments Men,Sony,"$78,031,620 ","3,083","$22,003,433 ","3,083",2月7日,5月18日,1 hrs. 50 min.,Action Drama,PG-13
2014,46,Hercules (2014),Par.,"$72,688,614 ","3,595","$29,800,263 ","3,595",7月25日,10月16日,1 hrs. 38 min.,Action / Adventure,PG-13
2014,47,The Purge: Anarchy,Uni.,"$71,962,800 ","2,856","$29,816,675 ","2,805",7月18日,9月18日,1 hrs. 43 min.,Thriller,R
2014,48,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",BV,"$66,954,149 ","3,117","$18,360,230 ","3,088",10月10日,2月26日,1 hrs. 21 min.,Family,PG
2014,49,Think Like a Man Too,SGem,"$65,182,182 ","2,225","$29,241,911 ","2,225",6月20日,8月17日,1 hrs. 46 min.,Comedy,PG-13
